Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type
260312013830+0100,240,7,24007,38898923,55176955,23718431,240-07-***,240-07-5012-38,3G,IoT Device
260228053435+0200,240,2,24002,99949389,45833156,96977837,240-02-***,240-02-6881-54,5G,Tablet
260313042841+0100,240,5,24005,63606628,58586340,39436733,240-05-***,240-05-3677-69,4G,Tablet
260310142432+0200,206,1,20601,93926371,50056581,95758349,206-01-***,206-01-1771-24,3G,IoT Device
260227104025+0100,206,10,20610,36998038,51837852,63551839,206-10-***,206-10-3646-79,5G,Smartphone
260309172103+0100,234,33,23433,42614537,73481353,64634663,234-33-***,234-33-8397-25,3G,Smartphone
260227115818+0100,206,1,20601,32321899,64547971,75181648,206-01-***,206-01-8062-55,4G,Tablet
260315153544-0600,310,480,310480,19196777,89864260,19121552,310-480-***,310-480-1960-31,4G,Smartphone
260303021405+0200,206,1,20601,45594597,27778019,56843172,206-01-***,206-01-5033-84,5G,Smartphone
260223225045+0100,240,8,24008,47135391,15917225,10475894,240-08-***,240-08-5669-30,4G,IoT Device
260318072701+0000,234,38,23438,30743797,41774346,31810617,234-38-***,234-38-5291-30,5G,Tablet
260314183940+0200,206,1,20601,25480907,45059710,33966966,206-01-***,206-01-3938-52,4G,IoT Device
260223055926+0000,234,10,23410,49682169,84411983,27084279,234-10-***,234-10-8119-54,5G,Tablet
260310045652+0200,206,20,20620,29777514,13278320,16202700,206-20-***,206-20-3851-88,5G,Tablet
260312172150+0200,206,1,20601,67276174,83534128,69849511,206-01-***,206-01-8461-63,5G,IoT Device
260318130459+0200,206,20,20620,37760841,66390708,62274692,206-20-***,206-20-5246-41,5G,Tablet
260301052343+0200,240,24,24024,71968116,34391257,16749089,240-24-***,240-24-1096-55,4G,Tablet
260225182155+0100,234,20,23420,59512272,32520277,91321540,234-20-***,234-20-4467-68,4G,Tablet
260313223354+0100,240,7,24007,95306788,71705170,30534124,240-07-***,240-07-2771-84,3G,Tablet
260311034943-0600,310,410,310410,79340535,35643159,21490777,310-410-***,310-410-9817-71,4G,Tablet
260225185415+0200,206,20,20620,26046365,81922443,34850391,206-20-***,206-20-4937-98,4G,IoT Device
260313101036+0100,206,20,20620,16895666,43887075,74119726,206-20-***,206-20-5530-85,5G,IoT Device
260227181008+0100,240,16,24016,37888820,93955206,38323322,240-16-***,240-16-9056-19,5G,IoT Device
260304220535+0000,234,15,23415,51286958,89865458,86397676,234-15-***,234-15-4929-32,5G,Smartphone
260227062044+0100,234,10,23410,34359060,88561612,68503492,234-10-***,234-10-8679-98,4G,IoT Device
260225040719-0500,310,480,310480,93940940,69329732,16927215,310-480-***,310-480-6700-62,4G,Tablet
