IMSI,MSISDN,IMEI,IP_Address,Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type
2401819600133,467990838637,890899014026542,81.154.20.149,260312013830+0100,240,7,24007,38898923,55176955,23718431,240-07-***,240-07-5012-38,3G,IoT Device
2400781618495,467931034131,610196784752553,70.143.71.233,260228053435+0200,240,2,24002,99949389,45833156,96977837,240-02-***,240-02-6881-54,5G,Tablet
2408350305641,467295376724,287408643884969,210.200.51.240,260313042841+0100,240,5,24005,63606628,58586340,39436733,240-05-***,240-05-3677-69,4G,Tablet
2062691669784,324901845146,312275747048281,69.255.26.86,260310142432+0200,206,1,20601,93926371,50056581,95758349,206-01-***,206-01-1771-24,3G,IoT Device
2069570154303,324911718227,837933892489638,8.108.176.251,260227104025+0100,206,10,20610,36998038,51837852,63551839,206-10-***,206-10-3646-79,5G,Smartphone
2341509839301,447331051834,997886777382997,189.108.180.212,260309172103+0100,234,33,23433,42614537,73481353,64634663,234-33-***,234-33-8397-25,3G,Smartphone
2067010651333,324972624731,694760018108013,128.106.121.199,260227115818+0100,206,1,20601,32321899,64547971,75181648,206-01-***,206-01-8062-55,4G,Tablet
3106474687234,130509805009,739934718820812,110.195.7.81,260315153544-0600,310,480,310480,19196777,89864260,19121552,310-480-***,310-480-1960-31,4G,Smartphone
2069169985435,324646247510,715100419911838,109.98.176.247,260303021405+0200,206,1,20601,45594597,27778019,56843172,206-01-***,206-01-5033-84,5G,Smartphone
2404980841241,467082449353,951259774874016,54.249.132.163,260223225045+0100,240,8,24008,47135391,15917225,10475894,240-08-***,240-08-5669-30,4G,IoT Device
2348680112805,447882620450,580243423315869,130.199.228.88,260318072701+0000,234,38,23438,30743797,41774346,31810617,234-38-***,234-38-5291-30,5G,Tablet
2063421607337,324743303654,193174954586850,7.7.61.8,260314183940+0200,206,1,20601,25480907,45059710,33966966,206-01-***,206-01-3938-52,4G,IoT Device
2346981693406,447388356159,521330441484656,55.37.7.60,260223055926+0000,234,10,23410,49682169,84411983,27084279,234-10-***,234-10-8119-54,5G,Tablet
2066804436995,324877387214,791827979513433,130.238.201.102,260310045652+0200,206,20,20620,29777514,13278320,16202700,206-20-***,206-20-3851-88,5G,Tablet
2063676320163,324687083172,723633598895798,178.141.167.230,260312172150+0200,206,1,20601,67276174,83534128,69849511,206-01-***,206-01-8461-63,5G,IoT Device
2068734714345,324781223623,186206506658760,220.41.254.122,260318130459+0200,206,20,20620,37760841,66390708,62274692,206-20-***,206-20-5246-41,5G,Tablet
2406889373467,467065627298,136193756990162,151.89.105.16,260301052343+0200,240,24,24024,71968116,34391257,16749089,240-24-***,240-24-1096-55,4G,Tablet
2346464170805,447410033092,420169602719374,49.22.42.33,260225182155+0100,234,20,23420,59512272,32520277,91321540,234-20-***,234-20-4467-68,4G,Tablet
2409663193149,467090586518,969117845067165,132.145.219.213,260313223354+0100,240,7,24007,95306788,71705170,30534124,240-07-***,240-07-2771-84,3G,Tablet
3109453147379,161765075273,576238004549480,107.234.190.220,260311034943-0600,310,410,310410,79340535,35643159,21490777,310-410-***,310-410-9817-71,4G,Tablet
2067701436349,324778856855,709006584443135,46.14.44.201,260225185415+0200,206,20,20620,26046365,81922443,34850391,206-20-***,206-20-4937-98,4G,IoT Device
2064134352408,324640084271,116462349477752,170.57.71.204,260313101036+0100,206,20,20620,16895666,43887075,74119726,206-20-***,206-20-5530-85,5G,IoT Device
2400229413186,467999386774,889905066499091,84.48.97.255,260227181008+0100,240,16,24016,37888820,93955206,38323322,240-16-***,240-16-9056-19,5G,IoT Device
2342067974034,447571349361,830899253242102,84.35.174.181,260304220535+0000,234,15,23415,51286958,89865458,86397676,234-15-***,234-15-4929-32,5G,Smartphone
2346488771906,447594013990,461731579027874,30.174.234.21,260227062044+0100,234,10,23410,34359060,88561612,68503492,234-10-***,234-10-8679-98,4G,IoT Device
3101256746807,120254516808,720054156038597,80.208.194.47,260225040719-0500,310,480,310480,93940940,69329732,16927215,310-480-***,310-480-6700-62,4G,Tablet
2061093248086,324531712748,466984686773782,28.199.227.146,260315070615+0200,206,5,20605,61484043,35583290,90447099,206-05-***,206-05-5719-66,5G,Tablet
2060449972787,324758867533,867453806360576,198.163.105.181,260303175330+0100,206,10,20610,61818612,99078806,97512508,206-10-***,206-10-7798-53,5G,Tablet
2061718702621,324845961586,525015407809134,67.3.244.101,260308040648+0200,206,1,20601,40532691,22130508,68246664,206-01-***,206-01-3068-74,5G,Tablet
2400504556238,467692221969,423236277923747,106.143.73.72,260318171454+0100,240,24,24024,44269370,99501846,11261301,240-24-***,240-24-3725-98,4G,Smartphone
3104647436713,151295944064,110868909097439,36.16.214.132,260316153305-0700,310,260,310260,57287718,39394291,95445405,310-260-***,310-260-2210-66,4G,IoT Device
2064709521456,324632858842,444899407451712,157.244.135.128,260304101712+0200,206,5,20605,40281491,63339667,84801233,206-05-***,206-05-2591-90,5G,Smartphone
2347549651370,447885931746,256599792004711,194.11.193.174,260308181300+0000,234,30,23430,41514326,82148284,28208520,234-30-***,234-30-1228-43,5G,Smartphone
3102617964053,151273515850,634373984317139,81.19.169.242,260313070330-0800,310,410,310410,12866549,16788532,54762841,310-410-***,310-410-9850-63,5G,IoT Device
2063352904228,324721020539,534558700240268,50.200.180.194,260315223843+0100,206,5,20605,25253751,18530615,73920651,206-05-***,206-05-2124-80,3G,IoT Device
3100847007661,151271159212,469120229985698,24.109.174.220,260305221707-0700,310,120,310120,49580505,70896652,77853916,310-120-***,310-120-8405-74,3G,IoT Device
3106576615654,141527111161,600158142809885,179.103.183.171,260322010049-0500,310,120,310120,99927658,26405605,65137801,310-120-***,310-120-4522-65,4G,Smartphone
2345198327315,447851493689,923524118094024,44.186.245.162,260319000140+0100,234,38,23438,51471222,55610493,57113566,234-38-***,234-38-1842-46,5G,Tablet
2400183667525,467359910229,166790081476797,176.4.175.90,260225111755+0100,240,4,24004,65590800,46663833,38933176,240-04-***,240-04-7566-18,3G,IoT Device
2409784036900,467243244510,767579286226838,19.148.107.159,260310202940+0200,240,16,24016,84990607,99663907,57535513,240-16-***,240-16-2816-46,5G,IoT Device
2405969664160,467329751613,684755139681645,217.215.39.223,260320181219+0200,240,1,24001,39738898,54703713,32566390,240-01-***,240-01-8147-12,4G,Smartphone
2402312432921,467277997995,941836955271774,113.66.150.192,260228013936+0100,240,5,24005,46866075,89379016,17539294,240-05-***,240-05-6724-54,5G,IoT Device
2345411998679,447807935978,302482300715182,18.54.253.41,260223105529+0000,234,20,23420,15253567,43251599,68754920,234-20-***,234-20-8565-67,3G,Smartphone
3105905151864,141592519254,980541736291486,10.3.29.117,260322052411-0600,310,410,310410,96368203,54087376,27152188,310-410-***,310-410-7108-46,4G,Tablet
2403573322141,467988059296,307034552292706,21.72.184.85,260224174146+0200,240,8,24008,58895439,41880763,69619341,240-08-***,240-08-1298-56,4G,Smartphone
2343597746886,447439240758,237693608141247,221.138.88.147,260228200542+0100,234,15,23415,78901038,29776801,68716573,234-15-***,234-15-9749-40,4G,Tablet
2406853615305,467052204727,702102709010432,205.155.245.22,260321193544+0100,240,24,24024,83659258,91722503,80836292,240-24-***,240-24-6727-13,4G,Smartphone
3103697117980,161793246095,422879859621851,55.230.31.28,260314063439-0500,310,410,310410,80606503,83025444,78092370,310-410-***,310-410-4893-48,3G,Smartphone
2404051531952,467058527722,184692107043030,9.239.162.25,260306004111+0200,240,24,24024,52358553,51617680,79173614,240-24-***,240-24-1713-91,4G,Tablet
3105054156676,141527758416,205934036928451,65.88.160.22,260228074447-0800,310,410,310410,20746667,54012664,98707076,310-410-***,310-410-1599-92,3G,Tablet
2345705964016,447582029702,190239093556909,115.134.2.171,260310125012+0100,234,30,23430,30594121,70387584,59790013,234-30-***,234-30-7981-31,5G,Tablet
2345431027868,447344739473,264601162172715,131.196.150.120,260221022554+0100,234,10,23410,99635939,56630633,18715975,234-10-***,234-10-3255-77,4G,Tablet
2341323705895,447782911467,805576766691251,218.146.222.199,260227180533+0100,234,15,23415,70394554,72523073,79438885,234-15-***,234-15-3852-56,5G,Smartphone
2340182422535,447841438424,924671678182992,119.196.65.254,260223001618+0000,234,33,23433,32978158,98413629,93816177,234-33-***,234-33-3981-26,4G,IoT Device
