MSISDN,Full_Name,Email,Address,Gender,Age
467001338908,Emma Lindqvist,emma.lindqvist@mailbox.se,"Storgatan 14, 11129 Stockholm, Sweden",Female,34
467081618495,Johan Eriksson,johan.eriksson@webmail.se,"Kungsgatan 7, 41107 Gothenburg, Sweden",Male,28
467064835030,Sara Johansson,sara.johansson@postnet.se,"Vasagatan 3, 21120 Malmö, Sweden",Female,45
467032871012,Anders Nilsson,anders.nilsson@inbox.se,"Drottninggatan 22, 75320 Uppsala, Sweden",Male,52
467048281489,Maria Petersson,maria.petersson@email.se,"Järnvägsgatan 9, 60220 Norrköping, Sweden",Female,31
467078248963,Lars Magnusson,lars.magnusson@mailgate.se,"Östra Storgatan 5, 55320 Jönköping, Sweden",Male,41
467051834738,Anna Svensson,anna.svensson@webpost.se,"Strandvägen 18, 80220 Gävle, Sweden",Female,27
467087262473,Karl Gustafsson,karl.gustafsson@netmail.se,"Kyrkogatan 11, 85230 Sundsvall, Sweden",Male,38
467072343098,Lena Karlsson,lena.karlsson@postmail.se,"Norra Stationsgatan 4, 50330 Borås, Sweden",Female,49
467016998543,Erik Larsson,erik.larsson@mailbox.se,"Södergatan 6, 72215 Västerås, Sweden",Male,33
467078498084,Karin Olsson,karin.olsson@inbox.se,"Hagagatan 15, 58222 Linköping, Sweden",Female,56
467052427868,Peter Hansson,peter.hansson@webmail.se,"Torggatan 8, 70213 Örebro, Sweden",Male,44
467032260256,Ingrid Persson,ingrid.persson@postnet.se,"Bergsgatan 2, 35243 Växjö, Sweden",Female,29
467085014294,Stefan Andersen,stefan.andersen@email.se,"Parkgatan 17, 30240 Halmstad, Sweden",Male,62
467051484656,Britta Holm,britta.holm@mailgate.se,"Industrigatan 21, 80590 Gävle, Sweden",Female,37
467072148951,Mikael Lund,mikael.lund@webpost.se,"Stortorget 3, 25220 Helsingborg, Sweden",Male,48
467028708317,Ulla Lindberg,ulla.lindberg@netmail.se,"Rådhusgatan 10, 87231 Härnösand, Sweden",Female,53
467034558122,Thomas Berglund,thomas.berglund@postmail.se,"Åsgatan 12, 68230 Filipstad, Sweden",Male,26
467088937346,Cecilia Mattsson,cecilia.mattsson@mailbox.se,"Fridhemsgatan 5, 65221 Karlstad, Sweden",Female,40
467055646417,Henrik Wallin,henrik.wallin@inbox.se,"Hamnplan 1, 37130 Karlskrona, Sweden",Male,35
467099123456,Nora Strand,nora.strand@webmail.se,"Linnégatan 8, 41304 Gothenburg, Sweden",Female,30
467011987654,Gustav Björk,gustav.bjork@postnet.se,"Kungsholmsgatan 20, 11227 Stockholm, Sweden",Male,43
467044556677,Frida Lind,frida.lind@email.se,"Skolgatan 13, 90325 Umeå, Sweden",Female,25
