Real_Name,MSISDN,Known_TAC,Known_LAI,Known_Network
Brenda Garcia,46731177942,35885697,240-83-3391,4G
Lori Mathis,46745103852,86734042,240-21-1987,5G
Samantha Williams,46778259018,86633530,240-83-5636,5G
Jessica Ochoa,46747286853,86857207,240-71-7308,5G
Theresa Brooks,46717953224,35780460,240-84-5300,4G
Jason Lloyd,46728291317,86561693,240-80-5994,5G
Rhonda Oconnell,46728754772,86547487,240-25-5938,5G
Amanda Brown,46742606194,35510945,240-41-3340,4G
Diana Lee,46716602065,10932403,240-33-8700,3G
Mary Jones,46738381583,35811512,240-23-5361,4G
Kelly Hanna,46722051187,35352915,240-10-2169,4G
Brittany Delgado,46790440554,10338365,240-42-3743,3G
Lee Rivera,46740218173,86656159,240-70-5816,5G
Angela Fisher,46776803057,86599060,240-65-3771,5G
Russell Carlson,46752654079,35635728,240-79-2441,4G
Michael Hester,46759621627,86491705,240-51-9408,4G
Stephen Foster,46753606201,10903016,240-46-9225,3G
Lisa Bush,46735192630,86407507,240-82-8128,4G
Cynthia Riddle,46773111647,10421178,240-60-1838,3G
Christopher Brown,46730606546,10209746,240-39-7465,3G
Norma Hall,46716894604,10370565,240-33-9626,3G
Megan Russell,46733685747,35228576,240-86-6530,4G
Sherry Caldwell,46739263888,35231758,240-69-6352,4G
Paul Zamora,46739418361,35902411,240-53-4333,4G
Brian Carey,46791081272,35636778,240-96-1980,4G
Kyle Carter,46714599945,86015950,240-57-5502,5G
James Williams,46771818464,10880219,240-74-1602,3G
Nicholas Hunter,46772196811,35205399,240-91-8115,4G
Mariah Fisher,46737148868,10219526,240-62-2380,3G
Hunter Reed,46772922693,35861071,240-23-6676,4G
Joseph Huffman,46789590438,35857463,240-22-2798,4G
George Hall,46726613311,10236371,240-19-7305,3G
Timothy Ellis,46796390821,10191901,240-54-8737,3G
Cody Kelley,46740479362,35263456,240-21-1957,4G
Mckenzie Smith,46765720651,35725956,240-49-2895,4G
Ashley Mcconnell,46770084445,86579389,240-88-4174,5G
Sherry Thomas,46782545191,86446967,240-88-7520,5G
Dominique Bailey,46778092995,35218811,240-54-5370,4G
Anna Nelson,46753802064,86578621,240-81-7125,5G
Dr. April Young,46762842611,35948319,240-44-9401,4G
Cody Jones,46799696866,35237069,240-89-5524,4G
Travis Martin,46711931886,86442333,240-10-8017,4G
Christopher Maxwell,46720412739,10733442,240-24-3298,3G
Kenneth Vazquez,46757797058,86265321,240-90-8611,4G
Mr. Benjamin Espinoza,46758059510,35467876,240-55-4122,4G
Fernando Colon,46744798323,35459488,240-72-3487,4G
Tanner Carr,46728173383,35003743,240-92-5090,4G
Justin Smith,46796887450,35755772,240-25-2224,4G
Jason Jones,46747594621,10597438,240-42-8226,3G
Mark Mitchell,46795369513,10826102,240-38-3073,3G
Patrick Smith,46713757974,35604055,240-19-3832,4G
Brenda Schwartz,46753280100,86916995,240-39-6518,5G
Lisa Shelton,46743957412,10338113,240-10-9392,3G
Jamie Gomez,46727684867,35956100,240-95-3956,4G
John Scott,46750473321,35963152,240-11-8083,4G
Rodney Jones,46785476267,86729762,240-74-3811,5G
Amy Thomas,46739453248,10200065,240-78-9431,3G
Brandi Perez,46731726243,35155801,240-88-1167,4G
Katherine Anderson,46770237172,35396420,240-78-1815,4G
John Key,46729507652,86366727,240-63-8890,4G
Edward Wallace,46737668708,35094488,240-72-8522,4G
Amy Murillo,46730719703,35287401,240-29-2521,4G
Richard Jackson,46759598159,10868266,240-22-6924,3G
James Garrett,46725398989,10365677,240-85-8230,3G
Richard Pollard,46766072766,86755328,240-19-6327,5G
Randy Costa,46714153568,86954136,240-11-2677,5G
Edward Knight,46768617166,35625980,240-54-8758,4G
Gina Ingram,46731068700,35694252,240-65-1064,4G
Marcus Shaffer,46761487037,86594598,240-23-3315,5G
Matthew Thompson,46752075044,35288169,240-37-1011,4G
Amanda Clark,46764158919,10424429,240-63-7654,3G
David Smith,46781930563,86942791,240-83-4160,5G
Kevin Bell,46797609350,86784792,240-44-1900,5G
Cynthia Ochoa,46757712854,35308995,240-14-9963,4G
Ronald Jones,46717876290,86220806,240-74-6289,5G
Alicia Chapman,46781981074,86935266,240-33-7155,5G
Dr. Melissa Wise,46732990567,35080986,240-61-7392,4G
Stephanie Martinez,46790887070,35414787,240-22-4041,4G
Lauren Mccoy,46715168394,35654299,240-95-6768,4G
Cindy Wagner,46747461463,86275490,240-93-6607,5G
Andrea Dean,46761017938,10384096,240-27-4918,3G
Lisa Cooper,46713801082,35728734,240-62-8939,4G
Bradley Booth,46760635995,86164336,240-52-4982,5G
Melvin Harvey,46782166611,35942850,240-51-3825,4G
Sharon Oconnor,46759570765,35072258,240-51-5231,4G
Laurie Reed,46782016897,86754381,240-22-6870,5G
Beth Lee,46756054775,35507438,240-97-5864,4G
Nathan Mays,46765098996,35572212,240-95-9801,4G
Sherry Larson,46738093327,35207849,240-65-6698,4G
Russell Mcdonald,46751374258,35513498,240-52-3663,4G
Jason Ward,46766790744,86039162,240-86-5584,5G
Sheila Edwards,46759044237,86447021,240-46-9879,4G
Teresa Odom,46773976112,86120992,240-91-8247,4G
Russell Fuller,46728004582,35431971,240-65-8106,4G
Lisa Gaines,46766435510,35353842,240-82-4843,4G
Wayne Long,46744457693,86066412,240-69-1613,5G
Jenny Garza,46760753840,86069603,240-36-7838,5G
Harold Stephens,46790458257,35082102,240-93-2931,4G
Andrea Thomas,46744916702,35680722,240-24-9561,4G
Rebecca Santos,46766322746,10996023,240-34-6166,3G
Cheryl Lopez,46748097141,86294065,240-68-4196,5G
Maria Pope,46787890652,86936557,240-15-8904,4G
Kurt Bradley,46726007195,86702275,240-14-8394,4G
Thomas Arnold MD,46773708367,10885868,240-30-8560,3G
Debra Perry,46757610310,86669471,240-75-2506,5G
Jennifer Heath,46733895871,10740712,240-75-2280,3G
Linda Miller,46731823885,35500428,240-71-1006,4G
James Floyd,46724254771,35359336,240-85-8649,4G
Jane Gonzalez,46741955669,35159765,240-48-4216,4G
Grace Stewart,46743322879,86540909,240-82-9121,4G
Debra Chan,46783395204,10935450,240-78-8854,3G
Trevor Torres,46729690454,35743351,240-83-3859,4G
Rebecca Moore,46799347371,10967051,240-60-1735,3G
Shannon English,46752704694,10124451,240-38-2843,3G
Laura Sellers,46712431608,35154737,240-39-1141,4G
Steven Deleon,46758849762,35255694,240-69-6525,4G
Christopher Smith,46761592034,35627769,240-64-9311,4G
Matthew Roach,46719625105,10567829,240-30-9789,3G
David Garza,46717327065,35990602,240-28-1368,4G
James Taylor,46779377178,35584827,240-91-2989,4G
Keith Myers,46780560139,35272394,240-14-3828,4G
Rachel Ruiz,46782516244,35926774,240-26-1330,4G
George Hickman,46723902543,10451332,240-61-8544,3G
Alexandria Johnson,46798213279,10985470,240-54-3023,3G
John Stephenson,46715099136,10091822,240-77-6349,3G
Angela Mcdonald,46713762288,35965475,240-65-3131,4G
Lee Moody,46747472571,10306932,240-74-6190,3G
Jonathan King,46787432883,35997899,240-11-8137,4G
Ann Merritt,46761954211,10106102,240-64-8776,3G
Dawn Collins,46774372325,35566713,240-91-3232,4G
Nicholas West,46748294580,86526748,240-97-9638,4G
Amy Brown,46787915883,10707502,240-29-2453,3G
Donna Harper,46739168602,35115623,240-55-7568,4G
Nathan Cruz,46736048142,35164251,240-51-6110,4G
Paula Weber,46764030035,86102837,240-22-1092,5G
Mary Thompson,46791444680,35612971,240-66-4178,4G
Matthew Evans,46729676539,35955375,240-34-7872,4G
Angela Cole,46764665685,86230214,240-97-5317,5G
William Wilcox,46759643686,35484143,240-21-4343,4G
Danielle Anderson,46777426016,10404311,240-75-1157,3G
Nathan Dunlap,46741543745,35621904,240-27-4528,4G
Steven Gregory,46744898393,10766334,240-68-3614,3G
Erica Medina,46756147430,35216769,240-86-2745,4G
Aaron Wilson,46748149359,86038233,240-16-1934,5G
Susan Torres DVM,46777157512,35662038,240-35-7097,4G
Angela Chapman,46791148505,35179194,240-36-2161,4G
Amanda Bishop,46766159354,35466102,240-42-5290,4G
Danielle Mathis,46792905626,86188210,240-98-4574,5G
Anthony Hunter,46756622651,35799904,240-19-2152,4G
Adam Johnston,46793298817,86908858,240-54-2172,5G
Timothy Blair,46791392014,35775196,240-19-5082,4G
Sarah Daniels,46747214417,35742406,240-59-9954,4G
Andrew Rodriguez,46753420892,86109079,240-23-7643,5G
Kiara Hayes,46777050728,10873997,240-14-8041,3G
Jennifer Nguyen,46716378298,86183707,240-91-8938,4G
Mary Smith,46730515134,35965701,240-17-4239,4G
Henry Perkins,46717023281,35493259,240-87-1407,4G
Tiffany Bass,46781816397,10151688,240-31-4368,3G
James Hopkins,46746635794,35656521,240-40-1287,4G
Michael Shaw,46785182718,35414330,240-68-7570,4G
Bryan Smith,46740685255,86601309,240-42-8574,4G
Gabriela Graham,46795112722,35865041,240-60-1740,4G
Paige Lucas,46710188722,35822551,240-47-7968,4G
Jonathan Cobb,46733302929,86295103,240-28-8141,4G
Mary Garrett,46746449346,35809721,240-18-6524,4G
Jose Barton,46793144787,86054153,240-23-5367,5G
Jennifer Cook,46770626565,10170938,240-74-4692,3G
Samantha Reid DDS,46787642269,86073870,240-27-7297,5G
Luke Martin,46796265173,10751259,240-33-4081,3G
Kevin Mata,46790535968,35677563,240-30-4392,4G
Valerie Daniels,46798073522,35456243,240-48-6080,4G
Anne Davis,46753462163,35984662,240-18-4526,4G
Shelly Morgan,46771676521,10842021,240-67-1872,3G
Dawn Torres,46723255945,35881601,240-15-3913,4G
Sandra Reyes,46714600108,35865962,240-32-4432,4G
Katherine Foley,46792304617,35804114,240-81-7338,4G
Kathleen Lucero,46787335397,35648776,240-73-7564,4G
Seth Torres,46766727775,35710261,240-95-2920,4G
Paul Hays,46795029509,86549610,240-68-1193,5G
Christine Smith,46722309320,10886534,240-80-2532,3G
Samantha Terry,46747749171,86637776,240-46-8122,4G
Timothy Lewis,46757796082,35695204,240-21-3276,4G
Vincent Kelley,46762477591,86971271,240-69-8963,4G
Tony Williams,46785302285,35738757,240-25-3962,4G
Latoya Herman,46796773011,35875619,240-27-7214,4G
Meghan Gordon,46732632535,35390452,240-82-4805,4G
Jennifer Sullivan,46720284396,86606731,240-59-3898,5G
Andrea Hayes,46771223781,35246328,240-60-7732,4G
Kevin Schwartz,46733367643,86079606,240-31-2242,5G
Joshua Frost,46744447883,86531197,240-98-8539,4G
Rebecca Whitehead,46765181314,10475083,240-76-3568,3G
Debra Evans,46732308361,86599340,240-60-3258,5G
Thomas Gonzalez,46712834845,86939809,240-56-3479,5G
John Walton,46734661735,35772555,240-12-7336,4G
Sheri Bond,46732023432,10235148,240-59-9728,3G
Manuel Smith,46783195404,35836507,240-88-5468,4G
Whitney Berry,46760152688,10095256,240-41-1671,3G
Mary Nash,46756404773,35406782,240-21-7856,4G
Michael White,46789535127,10774806,240-92-2248,3G
Robert Mueller,46748070457,35832494,240-34-1782,4G
Christian Page,46720695009,86732898,240-71-7354,5G
John Marshall,46729313731,10284949,240-13-8084,3G
Darren Smith,46717391037,86401975,240-67-1731,5G
Karen Wiley,46736293611,86909210,240-56-6877,5G
David Myers,46724509187,10487462,240-45-5186,3G
Jacob Mason,46777990534,35040887,240-18-6121,4G
Stephen Whitehead,46780585944,86919434,240-36-2244,5G
Johnny Young,46789938177,86163403,240-52-8796,4G
Johnny Evans,46775550472,35725570,240-62-8825,4G
Jessica Mcdonald,46796855708,86415336,240-47-2837,5G
Heather Richardson,46755200235,86503579,240-67-3689,5G
Benjamin French,46758914613,35925911,240-75-3052,4G
Timothy King,46725814828,35061629,240-22-4072,4G
Stacey Hurst,46745120228,86703374,240-77-2638,5G
Samantha Suarez,46763794886,35201948,240-22-4366,4G
Daniel Webster,46721293033,35065768,240-45-6155,4G
Anthony Thompson,46733508102,86400109,240-76-9050,4G
Debbie Bailey,46777018374,86337429,240-92-2129,5G
Angela Molina,46719158195,35818333,240-84-7263,4G
Ashley Murray,46715911562,35120388,240-51-1138,4G
Sheri Diaz,46735034110,86533006,240-46-6928,5G
Dana Figueroa,46749830921,10288863,240-32-2011,3G
Christopher Lopez,46764908714,35567892,240-12-9152,4G
Kelly Gamble,46774042663,35609807,240-79-2993,4G
Nathan Gordon,46738006513,35671147,240-98-1929,4G
Tasha Waller,46787452670,35333384,240-45-9052,4G
Monique Adkins,46728866544,35198689,240-96-9438,4G
Sharon Ryan,46797613995,35699866,240-55-2510,4G
Michael Dean,46764488973,86199533,240-22-5507,5G
Laurie Horn,46754975402,35538938,240-78-9488,4G
Sarah Price,46752714708,86287312,240-33-2301,5G
Troy Combs,46760443683,35865144,240-72-2556,4G
Michelle Garcia,46727457743,86175786,240-56-5482,5G
Gina Moore,46760983538,86990587,240-82-5899,5G
Sandra Buck,46751604923,35496085,240-19-2791,4G
Stephanie Ochoa,46752023334,10515303,240-29-8026,3G
David Cortez,46759879509,35271881,240-73-1237,4G
David Fleming,46739636340,10500977,240-68-6364,3G
Tina Charles,46710394490,86131404,240-48-4398,5G
Brandy Hooper,46732178434,35122409,240-10-5488,4G
Shannon Cook,46749082618,35047114,240-80-2387,4G
Chad Price,46762485490,86236424,240-37-1920,5G
Melissa Adams,46720401421,86684524,240-55-8506,4G
James Mason,46718379482,35812002,240-22-9002,4G
Regina Wilson,46745318087,10372332,240-43-3015,3G
Mr. Willie Eaton,46771263884,35235068,240-52-6392,4G
Ashley Castaneda,46727548495,10250768,240-28-4883,3G
Patricia Marquez,46716932342,35632439,240-90-8007,4G
Timothy Bradley,46769147144,35397172,240-30-9462,4G
John Reese,46761380672,35167732,240-78-2740,4G
Sherry Patrick,46722571435,35086390,240-32-4766,4G
Christopher Morrow,46710343045,35851965,240-18-9557,4G
Marie Gibson,46728678239,10965666,240-39-1829,3G
Sergio Brown,46759353917,35206639,240-29-9172,4G
Andrew Henson,46733362275,86307183,240-62-6834,5G
Deborah Anderson,46713712209,86208567,240-75-8188,4G
Jennifer White,46778493913,35317953,240-94-6192,4G
Aaron Bates,46766690641,86728690,240-46-7349,5G
Daniel Stevens,46759756120,35084381,240-19-2271,4G
Tiffany Pittman,46773808437,35619886,240-39-2909,4G
