IMSI,MSISDN,IMEI,IP_Address,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI
24014XXXXXXXX,4670XXXXXXXX,82394227XXXXXXX,129.153.XXX.XXX,240,85,24085,25000000,58000000,51000000,240-85-XXXX,240-85-XXXX
24003XXXXXXXX,4670XXXXXXXX,82383095XXXXXXX,183.214.XXX.XXX,240,46,24046,70000000,26000000,43000000,240-46-XXXX,240-46-XXXX
24015XXXXXXXX,4670XXXXXXXX,47376585XXXXXXX,113.163.XXX.XXX,240,12,24012,73000000,42000000,73000000,240-12-XXXX,240-12-XXXX
24031XXXXXXXX,4670XXXXXXXX,70211891XXXXXXX,133.144.XXX.XXX,240,86,24086,20000000,69000000,83000000,240-86-XXXX,240-86-XXXX
24008XXXXXXXX,4670XXXXXXXX,48285503XXXXXXX,130.8.XXX.XXX,240,30,24030,39000000,17000000,87000000,240-30-XXXX,240-30-XXXX
24080XXXXXXXX,4670XXXXXXXX,64193837XXXXXXX,77.254.XXX.XXX,240,33,24033,93000000,21000000,66000000,240-33-XXXX,240-33-XXXX
24099XXXXXXXX,4670XXXXXXXX,85563727XXXXXXX,112.108.XXX.XXX,240,18,24018,27000000,56000000,19000000,240-18-XXXX,240-18-XXXX
24054XXXXXXXX,4670XXXXXXXX,46553958XXXXXXX,3.173.XXX.XXX,240,46,24046,77000000,75000000,43000000,240-46-XXXX,240-46-XXXX
24016XXXXXXXX,4670XXXXXXXX,14835614XXXXXXX,116.115.XXX.XXX,240,87,24087,15000000,51000000,58000000,240-87-XXXX,240-87-XXXX
24053XXXXXXXX,4670XXXXXXXX,45810056XXXXXXX,160.26.XXX.XXX,240,29,24029,36000000,71000000,56000000,240-29-XXXX,240-29-XXXX
24033XXXXXXXX,4670XXXXXXXX,87925434XXXXXXX,181.27.XXX.XXX,240,80,24080,52000000,68000000,91000000,240-80-XXXX,240-80-XXXX
24016XXXXXXXX,4670XXXXXXXX,50308572XXXXXXX,149.198.XXX.XXX,240,42,24042,84000000,27000000,35000000,240-42-XXXX,240-42-XXXX
24062XXXXXXXX,4670XXXXXXXX,38682516XXXXXXX,124.220.XXX.XXX,240,86,24086,99000000,94000000,93000000,240-86-XXXX,240-86-XXXX
24013XXXXXXXX,4670XXXXXXXX,63640499XXXXXXX,202.172.XXX.XXX,240,85,24085,33000000,79000000,72000000,240-85-XXXX,240-85-XXXX
24083XXXXXXXX,4670XXXXXXXX,70407340XXXXXXX,88.80.XXX.XXX,240,87,24087,46000000,69000000,20000000,240-87-XXXX,240-87-XXXX
24043XXXXXXXX,4670XXXXXXXX,72535301XXXXXXX,86.3.XXX.XXX,240,55,24055,12000000,87000000,61000000,240-55-XXXX,240-55-XXXX
24005XXXXXXXX,4670XXXXXXXX,32151928XXXXXXX,130.199.XXX.XXX,240,60,24060,89000000,85000000,98000000,240-60-XXXX,240-60-XXXX
