IMSI,MSISDN,IMEI,IP_Address,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI
2401462704828,467014893252,823942278095700,129.153.198.180,240,85,24085,23418324,53445945,41428232,240-95-5506,240-95-5506-41
2400391171822,467078248963,823830953465780,183.214.39.114,240,46,24046,70597444,26240908,43273328,240-46-6635,240-46-6635-87
2401509839301,467003105183,473765857382990,113.163.209.250,240,12,24012,73440831,42614537,73481353,240-12-7224,240-12-7224-22
2403116566701,467006513338,702118912624730,133.144.103.224,240,86,24086,32955864,26583116,13850591,240-33-1188,240-33-1188-97
2400801326773,467060260647,482855036872340,130.8.186.60,240,30,24030,39219319,17849494,87736262,240-30-9279,240-30-9279-87
2408050097882,467008121913,641938371939900,77.254.42.34,240,33,24033,93131979,21003626,66267415,240-33-1188,240-33-1188-97
2409985435346,467024751079,855637271183840,112.108.176.251,240,18,24018,27778019,56843172,19233013,240-18-9348,240-18-9348-73
2405427849808,467041241182,465539584935340,3.173.150.154,240,46,24046,77834855,75569635,43704923,240-46-6635,240-46-6635-87
2401640052427,467086801128,148356145982620,116.115.120.25,240,87,24087,70670609,72926494,52131925,240-42-1916,240-42-1916-39
2405331586923,467022602563,458100562160730,160.26.158.113,240,29,24029,36786211,71780854,56930359,240-29-3286,240-29-3286-23
2403303654145,467086850142,879254344019650,181.27.237.216,240,80,24080,71702223,85558238,37346434,240-25-2139,240-25-2139-15
2401693406088,467035615951,503085728465640,149.198.170.29,240,42,24042,84411983,27084279,35748341,240-42-1916,240-42-1916-39
2406299468044,467036995777,386825168721480,124.220.123.53,240,86,24086,15835696,22927224,65942690,240-88-2169,240-88-2169-87
2401343320037,467091769367,636404993201630,202.172.86.30,240,85,24085,33607110,79519112,72350830,240-85-4733,240-85-4733-47
2408317278895,467079868727,704073404348730,88.80.186.159,240,87,24087,20563871,23152041,10932793,240-33-1188,240-33-1188-97
2404345581223,467062316658,725353016036690,86.3.94.220,240,55,24055,12621534,87267850,61053877,240-55-2040,240-55-2040-59
2400546688937,467034670656,321519287298060,130.199.228.88,240,60,24060,89442503,85751409,98986321,240-60-7216,240-60-7216-44
2401627204653,467075564641,731235150805310,179.254.147.111,240,95,24095,35752385,32229491,13816763,240-35-2084,240-35-2084-37
2403092327193,467074529912,517469371904960,193.193.207.66,240,46,24046,63238057,36619372,20200074,240-46-6635,240-46-6635-87
2403149190586,467051850671,681865255726280,82.195.110.208,240,83,24083,35422585,25508583,44202554,240-95-5506,240-95-5506-41
2407769453147,467037996507,536226632735450,174.228.160.231,240,35,24035,67305379,18939353,18975683,240-34-1711,240-34-1711-68
2400831367837,467077014363,510982779578850,132.115.151.116,240,73,24073,67110154,83871890,54398056,240-73-6155,240-73-6155-37
2407444313518,467023374989,479834421343520,78.149.226.163,240,11,24011,50569669,11898961,81690398,240-11-4814,240-11-4814-22
2404008427109,467047775204,741197261167190,178.141.167.230,240,90,24090,55595866,86971511,73282081,240-36-3547,240-36-3547-37
2409413186999,467038677496,509874429909130,169.227.59.103,240,29,24029,93955206,38323322,45520201,240-29-8359,240-29-8359-85
2401232812067,467097403447,195535853493610,61.4.172.164,240,18,24018,83089925,40173413,96924061,240-18-9348,240-18-9348-73
2404210249947,467017464887,687550001906590,151.89.105.16,240,29,24029,44399853,60591914,77237124,240-83-8517,240-83-8517-28
2409904902787,467042967175,648075535512560,109.175.48.85,240,12,24012,63745433,96887261,73405932,240-93-2876,240-93-2876-97
2408071545168,467008760385,935685037703480,101.136.177.81,240,48,24048,27584297,48658617,68802946,240-48-6820,240-48-6820-36
2407109324808,467061317127,491729958467730,132.145.219.213,240,20,24020,94928740,68392504,76983346,240-12-1771,240-12-1771-24
2403982146584,467004499727,822870617558860,138.243.239.128,240,82,24082,99064146,72684819,85217572,240-04-4257,240-04-4257-93
2403963605766,467027028951,690968991870260,11.234.190.220,240,20,24020,64061602,12431698,52771444,240-46-6635,240-46-6635-87
2404596158657,467080913431,682466641172400,110.18.63.223,240,60,24060,16172803,53536830,17532195,240-60-7216,240-60-7216-44
2405562386922,467021969379,292089353747400,124.224.226.204,240,11,24011,75586235,94970712,41089705,240-55-2040,240-55-2040-59
2401759464743,467067136959,497113194064090,131.148.124.195,240,36,24036,16582607,91390501,76669607,240-36-1106,240-36-1106-30
2403953394210,467047095214,538514986232850,112.131.123.138,240,11,24011,73180698,77727054,72890241,240-42-1916,240-42-1916-39
2404745171236,467085160481,710403475496510,166.107.43.197,240,36,24036,22736423,77831911,69163005,240-69-5371,240-69-5371-92
2408593174612,467000471138,282085206758690,121.176.23.197,240,96,24096,78296159,27515544,39556897,240-49-8668,240-49-8668-77
2407964053773,467051585064,354756731713900,218.17.215.90,240,30,24030,16788532,54762841,42691263,240-30-9279,240-30-9279-87
2409318393352,467090422842,247540640205390,100.255.205.158,240,90,24090,78592488,73350199,61633916,240-93-2876,240-93-2876-97
2400268117758,467091783908,504841377007660,61.93.212.42,240,34,24034,24490391,75802771,69533928,240-34-1711,240-34-1711-68
2401592124998,467056984789,677403761183670,72.239.180.7,240,76,24076,59731931,66901558,12667081,240-12-1771,240-12-1771-24
2406615654527,467011116152,846748160988510,116.52.48.139,240,94,24094,65137801,57459130,99300492,240-94-5010,240-94-5010-30
2406049451983,467027315851,473887929368990,189.181.186.216,240,93,24093,96261621,84724345,13523729,240-93-2876,240-93-2876-97
2404024455022,467096120183,604919586752540,220.199.227.146,240,34,24034,53537934,86181117,90023800,240-34-3287,240-34-3287-41
2400229014767,467097643815,677020311497840,40.218.109.97,240,4,24004,57084618,55472449,62562167,240-94-5010,240-94-5010-30
2400034324451,467007622683,771440758516060,9.116.93.109,240,34,24034,48497535,42164809,75631338,240-80-6925,240-80-6925-83
2409696641605,467029751613,684755139681640,179.130.62.230,240,25,24025,85972065,18364156,81171773,240-85-4733,240-85-4733-47
2402181883552,467031243292,979809301277990,106.143.73.72,240,69,24069,31372948,20703404,48703878,240-83-8517,240-83-8517-28
2409552717744,467090581477,150475590541190,166.193.42.206,240,96,24096,89736043,78057490,61604364,240-96-8019,240-96-8019-84
2409807935978,467020715182,152535673778890,152.160.7.17,240,94,24094,81245762,92116545,56741385,240-36-3547,240-36-3547-37
2406659051518,467064492519,990685092546290,61.244.135.128,240,11,24011,98496705,96566824,58413849,240-12-1771,240-12-1771-24
2405281685054,467023573322,203569224188800,8.47.6.185,240,82,24082,98842638,55199748,92950779,240-82-6977,240-82-6977-30
2409622292706,467053794738,421006524735970,135.84.208.210,240,90,24090,71965637,47818761,61254050,240-90-9928,240-90-9928-63
