Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type
260316062051+0100,240,7,24007,35618611,21294238,13429607,SUPPRESSED,240-07-50,4G,Smartphone
260304101656+0200,240,2,24002,33549181,32936053,12395870,SUPPRESSED,240-02-68,5G,Tablet
260317091102+0100,206,5,20605,43401657,42146585,32359183,SUPPRESSED,206-05-85,4G,IoT Device
260314190653+0200,206,1,20601,58241736,51439587,42034339,SUPPRESSED,206-01-17,4G,Smartphone
260303152246+0100,206,10,20610,37106768,48095773,50342494,SUPPRESSED,206-10-36,5G,IoT Device
260313220324+0200,206,20,20620,45860207,38153634,51327459,SUPPRESSED,206-20-71,5G,Smartphone
260303164039-0800,310,260,310260,95285462,77931579,76160949,SUPPRESSED,310-260-25,4G,Smartphone
260319201805-0800,310,480,310480,98566315,76235251,69598388,SUPPRESSED,310-480-45,5G,Smartphone
260307065626+0100,240,16,24016,18898649,14444504,21710793,SUPPRESSED,240-16-29,4G,Smartphone
260228033306+0100,240,8,24008,37828304,19283847,11479306,SUPPRESSED,240-08-56,5G,Smartphone
260322120922+0200,240,4,24004,17943586,15452654,15940891,SUPPRESSED,240-04-52,5G,Smartphone
260318232201-0500,310,260,310260,73870226,78764927,76983483,SUPPRESSED,310-260-64,5G,IoT Device
260227104147+0000,234,10,23410,73394432,59920542,68602995,SUPPRESSED,234-10-81,4G,Smartphone
260314093913+0100,206,20,20620,52575276,40415948,32537689,SUPPRESSED,206-20-72,5G,Smartphone
260316220411+0100,206,1,20601,40646752,44850299,45557200,SUPPRESSED,206-01-17,5G,Tablet
260322174720-0800,310,260,310260,72089290,76940210,93195354,SUPPRESSED,310-260-87,4G,Smartphone
260305100604-0500,310,480,310480,74553319,85492029,77195628,SUPPRESSED,310-480-88,5G,Smartphone
260301230416+0200,240,16,24016,35732830,22378068,15630069,SUPPRESSED,240-16-63,5G,Smartphone
260318031615+0100,240,7,24007,24612523,15910175,27506915,SUPPRESSED,240-07-27,3G,Smartphone
260315083204+0100,234,30,23430,74161696,63637464,66393952,SUPPRESSED,234-30-81,3G,IoT Device
260301233636+0200,206,20,20620,54313038,49783253,50508344,SUPPRESSED,206-20-83,3G,Smartphone
260317145257+0000,234,15,23415,71120693,73033474,51798822,SUPPRESSED,234-15-58,3G,Smartphone
260303225229+0100,206,10,20610,30089782,43707575,40116395,SUPPRESSED,206-10-23,3G,Tablet
260309024756-0700,310,120,310120,88118774,86569018,94377500,SUPPRESSED,310-120-47,4G,IoT Device
260303110305+0100,240,16,24016,32232614,23436947,28458179,SUPPRESSED,240-16-62,4G,Smartphone
260301084940+0200,240,2,24002,28483090,10458838,28530482,SUPPRESSED,240-02-61,4G,IoT Device
260319114836-0500,310,260,310260,89458999,92143937,97859207,SUPPRESSED,310-260-28,5G,Tablet
260307223551+0200,206,20,20620,43756599,51970815,30179503,SUPPRESSED,206-20-66,5G,Smartphone
260312084909+0200,240,7,24007,14884511,18193906,27822984,SUPPRESSED,240-07-65,5G,Smartphone
260322215715-0600,310,260,310260,73578689,77959302,90592924,310-260-38,310-260-38,4G,Smartphone
260320201526+0100,234,38,23438,55893502,56737555,54434546,SUPPRESSED,234-38-58,5G,Tablet
260308145933+0100,234,15,23415,61006064,70470961,57427850,SUPPRESSED,234-15-52,5G,Smartphone
260312225521+0200,240,7,24007,13333787,33007611,22325715,SUPPRESSED,240-07-76,4G,IoT Device
260317114551+0000,234,30,23430,53688516,72181413,50865038,SUPPRESSED,234-30-55,5G,IoT Device
260320032104+0100,206,10,20610,53904221,44883482,27465939,SUPPRESSED,206-10-48,4G,Smartphone
260310025928+0200,240,4,24004,22559458,15121712,25913789,SUPPRESSED,240-04-20,4G,Smartphone
260326054310+0100,240,2,24002,13854911,19347198,29263599,SUPPRESSED,240-02-25,3G,Tablet
260323044401+0200,206,1,20601,35281799,50731209,26669752,206-01-53,206-01-53,4G,Tablet
260301160016+0200,240,24,24024,35065634,24450384,15895339,SUPPRESSED,240-24-79,5G,Smartphone
260315011201+0200,206,5,20605,49759241,43436866,42581265,SUPPRESSED,206-05-91,5G,Tablet
260324225440+0200,240,7,24007,15065289,24755991,12291306,SUPPRESSED,240-07-65,4G,Smartphone
260304062157-0800,310,410,310410,85117047,73472946,88047718,SUPPRESSED,310-410-55,3G,Tablet
260227153750+0100,240,1,24001,14326899,29966270,12842698,SUPPRESSED,240-01-50,5G,Smartphone
260326100632+0100,234,38,23438,62640621,55175863,55444113,SUPPRESSED,234-38-63,4G,IoT Device
260228222407+0100,206,20,20620,48607299,33442340,48870655,SUPPRESSED,206-20-17,4G,Tablet
260305004803+0200,240,2,24002,35462483,33673865,25740723,SUPPRESSED,240-02-36,5G,Smartphone
260326001805-0500,310,120,310120,90629586,81838541,81143992,SUPPRESSED,310-120-13,4G,Smartphone
260318111700-0600,310,120,310120,97229343,74524901,69234605,310-120-95,310-120-95,3G,Tablet
260310052332-0500,310,410,310410,96882069,72771982,93487690,SUPPRESSED,310-410-43,5G,IoT Device
260304122708+0200,240,4,24004,17918690,31648073,22291943,SUPPRESSED,240-04-99,4G,Smartphone
260314173233+0100,234,33,23433,56716870,54115029,54554289,SUPPRESSED,234-33-15,3G,Tablet
260225070815+0200,240,4,24004,12206140,20378074,23360031,SUPPRESSED,240-04-82,5G,IoT Device
260303224754-0800,310,480,310480,79209048,74200018,85322215,SUPPRESSED,310-480-22,5G,Tablet
260227045839+0100,240,4,24004,26248771,25584092,16845876,SUPPRESSED,240-04-38,5G,IoT Device
260303121238+0000,234,20,23420,65663716,66735598,60352900,SUPPRESSED,234-20-62,5G,Smartphone
260304085505-0500,310,120,310120,72467316,82963715,98840015,SUPPRESSED,310-120-74,4G,Smartphone
260302190319-0700,310,120,310120,94807441,80040638,87573640,SUPPRESSED,310-120-31,4G,IoT Device
260307170316-0700,310,480,310480,75081189,83856641,78682939,SUPPRESSED,310-480-12,4G,Smartphone
260317064657-0800,310,120,310120,96689374,94215038,83351424,SUPPRESSED,310-120-32,4G,Smartphone
260226213605+0000,234,33,23433,53362085,63868092,61082814,SUPPRESSED,234-33-98,5G,Smartphone
260304125934-0500,310,260,310260,79548304,85245425,98145901,SUPPRESSED,310-260-10,5G,Smartphone
260301065329+0200,206,10,20610,41060389,40131621,44544139,206-10-41,206-10-41,4G,Tablet
260304134915+0200,240,8,24008,33614472,22139485,12620692,SUPPRESSED,240-08-48,5G,Smartphone
260321074410+0100,240,5,24005,24216925,21560470,12139427,SUPPRESSED,240-05-97,4G,Tablet
260226142301+0100,240,24,24024,25456019,21615193,15205009,SUPPRESSED,240-24-15,5G,Tablet
260326033815+0000,234,38,23438,57949180,60125534,54807022,SUPPRESSED,234-38-28,4G,Tablet
260302014215+0200,206,10,20610,47783574,34499406,38033180,SUPPRESSED,206-10-55,5G,Smartphone
260323003030+0200,206,5,20605,43308763,38030614,43524707,SUPPRESSED,206-05-64,3G,Smartphone
260308104915+0100,234,30,23430,69118963,58245331,66753777,234-30-86,234-30-86,4G,Smartphone
260324210311+0100,234,30,23430,50527870,50221873,67858087,SUPPRESSED,234-30-90,3G,IoT Device
260309183132-0500,310,120,310120,82725988,82655710,96944161,SUPPRESSED,310-120-96,4G,Smartphone
260301172450+0100,240,4,24004,18068907,29015159,23057928,SUPPRESSED,240-04-23,5G,Smartphone
260314105812+0100,234,38,23438,76778288,58269482,73927951,SUPPRESSED,234-38-32,4G,Tablet
260226190709+0100,240,7,24007,30067019,20886075,22926439,SUPPRESSED,240-07-35,5G,Smartphone
260226185448+0200,240,16,24016,25363287,13589397,14546274,SUPPRESSED,240-16-73,5G,Smartphone
260227031744+0000,234,30,23430,68308274,56037355,72874480,SUPPRESSED,234-30-64,3G,IoT Device
260309044043+0200,240,5,24005,15581393,31709712,11486350,SUPPRESSED,240-05-81,5G,Smartphone
260314104655-0700,310,480,310480,86204307,81687018,96954726,SUPPRESSED,310-480-27,3G,Smartphone
260309154807+0200,240,24,24024,10149318,33647003,17207361,SUPPRESSED,240-24-62,4G,Tablet
260325025655+0200,206,1,20601,36141954,42526073,48267869,SUPPRESSED,206-01-26,4G,Smartphone
260304054850+0200,206,20,20620,32773965,48971602,26035513,SUPPRESSED,206-20-32,4G,Smartphone
260310190943+0200,206,1,20601,56025879,37950590,32042342,SUPPRESSED,206-01-55,5G,Smartphone
260225084002+0100,234,15,23415,69375185,71219889,59016651,234-15-32,234-15-32,4G,IoT Device
260227064228-0800,310,480,310480,98602555,86285237,88067975,SUPPRESSED,310-480-22,5G,IoT Device
260301011944+0100,240,2,24002,29920578,17589705,27429656,SUPPRESSED,240-02-85,4G,Tablet
260323110205-0500,310,120,310120,93037337,84843939,79579043,SUPPRESSED,310-120-66,5G,Smartphone
260310052711+0100,240,4,24004,26763208,31410490,29928976,SUPPRESSED,240-04-30,5G,Smartphone
260315102205+0100,240,8,24008,12805052,20398749,12651523,SUPPRESSED,240-08-61,4G,Tablet
260317024918+0100,206,10,20610,34259084,39018239,49593245,SUPPRESSED,206-10-74,5G,Tablet
260325055923+0100,240,8,24008,16004932,11186604,28551063,SUPPRESSED,240-08-80,5G,Smartphone
