Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type
260316062051+0100,240,07,24007,35618611,21294238,13429607,240-07-5012,240-07-5012-38,4G,Smartphone
260304101656+0200,240,02,24002,33549181,32936053,12395870,240-02-6881,240-02-6881-54,5G,Tablet
260317091102+0100,206,05,20605,43401657,42146585,32359183,206-05-8573,206-05-8573-58,4G,IoT Device
260314190653+0200,206,01,20601,58241736,51439587,42034339,206-01-1771,206-01-1771-24,4G,Smartphone
260303152246+0100,206,10,20610,37106768,48095773,50342494,206-10-3646,206-10-3646-79,5G,IoT Device
260313220324+0200,206,20,20620,45860207,38153634,51327459,206-20-7118,206-20-7118-66,5G,Smartphone
260303164039-0800,310,260,310260,95285462,77931579,76160949,310-260-2545,310-260-2545-22,4G,Smartphone
260319201805-0800,310,480,310480,98566315,76235251,69598388,310-480-4502,310-480-4502-61,5G,Smartphone
260307065626+0100,240,16,24016,18898649,14444504,21710793,240-16-2964,240-16-2964-82,4G,Smartphone
260228033306+0100,240,08,24008,37828304,19283847,11479306,240-08-5669,240-08-5669-30,5G,Smartphone
260322120922+0200,240,04,24004,17943586,15452654,15940891,240-04-5291,240-04-5291-30,5G,Smartphone
260318232201-0500,310,260,310260,73870226,78764927,76983483,310-260-6442,310-260-6442-62,5G,IoT Device
260227104147+0000,234,10,23410,73394432,59920542,68602995,234-10-8119,234-10-8119-54,4G,Smartphone
260314093913+0100,206,20,20620,52575276,40415948,32537689,206-20-7211,206-20-7211-96,5G,Smartphone
260316220411+0100,206,01,20601,40646752,44850299,45557200,206-01-1757,206-01-1757-41,5G,Tablet
260322174720-0800,310,260,310260,72089290,76940210,93195354,310-260-8777,310-260-8777-67,4G,Smartphone
260305100604-0500,310,480,310480,74553319,85492029,77195628,310-480-8814,310-480-8814-10,5G,Smartphone
260301230416+0200,240,16,24016,35732830,22378068,15630069,240-16-6363,240-16-6363-37,5G,Smartphone
260318031615+0100,240,07,24007,24612523,15910175,27506915,240-07-2771,240-07-2771-84,3G,Smartphone
260315083204+0100,234,30,23430,74161696,63637464,66393952,234-30-8136,234-30-8136-85,3G,IoT Device
260301233636+0200,206,20,20620,54313038,49783253,50508344,206-20-8342,206-20-8342-12,3G,Smartphone
260317145257+0000,234,15,23415,71120693,73033474,51798822,234-15-5853,234-15-5853-39,3G,Smartphone
260303225229+0100,206,10,20610,30089782,43707575,40116395,206-10-2395,206-10-2395-41,3G,Tablet
260309024756-0700,310,120,310120,88118774,86569018,94377500,310-120-4792,310-120-4792-46,4G,IoT Device
260303110305+0100,240,16,24016,32232614,23436947,28458179,240-16-6280,240-16-6280-87,4G,Smartphone
260301084940+0200,240,02,24002,28483090,10458838,28530482,240-02-6153,240-02-6153-42,4G,IoT Device
260319114836-0500,310,260,310260,89458999,92143937,97859207,310-260-2858,310-260-2858-69,5G,Tablet
260307223551+0200,206,20,20620,43756599,51970815,30179503,206-20-6654,206-20-6654-52,5G,Smartphone
260312084909+0200,240,07,24007,14884511,18193906,27822984,240-07-6546,240-07-6546-89,5G,Smartphone
260322215715-0600,310,260,310260,73578689,77959302,90592924,310-260-3868,310-260-3868-20,4G,Smartphone
260320201526+0100,234,38,23438,55893502,56737555,54434546,234-38-5837,234-38-5837-12,5G,Tablet
260308145933+0100,234,15,23415,61006064,70470961,57427850,234-15-5210,234-15-5210-71,5G,Smartphone
260312225521+0200,240,07,24007,13333787,33007611,22325715,240-07-7689,240-07-7689-24,4G,IoT Device
260317114551+0000,234,30,23430,53688516,72181413,50865038,234-30-5520,234-30-5520-34,5G,IoT Device
260320032104+0100,206,10,20610,53904221,44883482,27465939,206-10-4898,206-10-4898-85,4G,Smartphone
260310025928+0200,240,04,24004,22559458,15121712,25913789,240-04-2076,240-04-2076-26,4G,Smartphone
260326054310+0100,240,02,24002,13854911,19347198,29263599,240-02-2527,240-02-2527-65,3G,Tablet
260323044401+0200,206,01,20601,35281799,50731209,26669752,206-01-5381,206-01-5381-13,4G,Tablet
260301160016+0200,240,24,24024,35065634,24450384,15895339,240-24-7947,240-24-7947-72,5G,Smartphone
260315011201+0200,206,05,20605,49759241,43436866,42581265,206-05-9196,206-05-9196-81,5G,Tablet
260324225440+0200,240,07,24007,15065289,24755991,12291306,240-07-6562,240-07-6562-38,4G,Smartphone
260304062157-0800,310,410,310410,85117047,73472946,88047718,310-410-5500,310-410-5500-85,3G,Tablet
260227153750+0100,240,01,24001,14326899,29966270,12842698,240-01-5059,240-01-5059-66,5G,Smartphone
260326100632+0100,234,38,23438,62640621,55175863,55444113,234-38-6381,234-38-6381-26,4G,IoT Device
260228222407+0100,206,20,20620,48607299,33442340,48870655,206-20-1715,206-20-1715-62,4G,Tablet
