Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type
260316062051+0100,240,7,240,35618611,21294238,13429607,240-07,240-07,4G,Smartphone
260304101656+0200,240,2,240,33549181,32936053,12395870,240-02,240-02,5G,Tablet
260317091102+0100,206,5,206,43401657,42146585,32359183,206-05,206-05,4G,IoT Device
260314190653+0200,206,1,206,58241736,51439587,42034339,206-01,206-01,4G,Smartphone
260303152246+0100,206,10,206,37106768,48095773,50342494,206-10,206-10,5G,IoT Device
260313220324+0200,206,20,206,45860207,38153634,51327459,206-20,206-20,5G,Smartphone
260303164039-0800,310,260,310,95285462,77931579,76160949,310-260,310-260,4G,Smartphone
260319201805-0800,310,480,310,98566315,76235251,69598388,310-480,310-480,5G,Smartphone
260307065626+0100,240,16,240,18898649,14444504,21710793,240-16,240-16,4G,Smartphone
260228033306+0100,240,8,240,37828304,19283847,11479306,240-08,240-08,5G,Smartphone
260322120922+0200,240,4,240,17943586,15452654,15940891,240-04,240-04,5G,Smartphone
260318232201-0500,310,260,310,73870226,78764927,76983483,310-260,310-260,5G,IoT Device
260227104147+0000,234,10,234,73394432,59920542,68602995,234-10,234-10,4G,Smartphone
260314093913+0100,206,20,206,52575276,40415948,32537689,206-20,206-20,5G,Smartphone
260316220411+0100,206,1,206,40646752,44850299,45557200,206-01,206-01,5G,Tablet
260322174720-0800,310,260,310,72089290,76940210,93195354,310-260,310-260,4G,Smartphone
260305100604-0500,310,480,310,74553319,85492029,77195628,310-480,310-480,5G,Smartphone
260301230416+0200,240,16,240,35732830,22378068,15630069,240-16,240-16,5G,Smartphone
260318031615+0100,240,7,240,24612523,15910175,27506915,240-07,240-07,3G,Smartphone
260315083204+0100,234,30,234,74161696,63637464,66393952,234-30,234-30,3G,IoT Device
260301233636+0200,206,20,206,54313038,49783253,50508344,206-20,206-20,3G,Smartphone
260317145257+0000,234,15,234,71120693,73033474,51798822,234-15,234-15,3G,Smartphone
260303225229+0100,206,10,206,30089782,43707575,40116395,206-10,206-10,3G,Tablet
260309024756-0700,310,120,310,88118774,86569018,94377500,310-120,310-120,4G,IoT Device
260303110305+0100,240,16,240,32232614,23436947,28458179,240-16,240-16,4G,Smartphone
260301084940+0200,240,2,240,28483090,10458838,28530482,240-02,240-02,4G,IoT Device
260319114836-0500,310,260,310,89458999,92143937,97859207,310-260,310-260,5G,Tablet
260307223551+0200,206,20,206,43756599,51970815,30179503,206-20,206-20,5G,Smartphone
260312084909+0200,240,7,240,14884511,18193906,27822984,240-07,240-07,5G,Smartphone
260322215715-0600,310,260,310,73578689,77959302,90592924,310-260,310-260,4G,Smartphone
260320201526+0100,234,38,234,55893502,56737555,54434546,234-38,234-38,5G,Tablet
260308145933+0100,234,15,234,61006064,70470961,57427850,234-15,234-15,5G,Smartphone
260312225521+0200,240,7,240,13333787,33007611,22325715,240-07,240-07,4G,IoT Device
260317114551+0000,234,30,234,53688516,72181413,50865038,234-30,234-30,5G,IoT Device
260320032104+0100,206,10,206,53904221,44883482,27465939,206-10,206-10,4G,Smartphone
260310025928+0200,240,4,240,22559458,15121712,25913789,240-04,240-04,4G,Smartphone
260326054310+0100,240,2,240,13854911,19347198,29263599,240-02,240-02,3G,Tablet
260323044401+0200,206,1,206,35281799,50731209,26669752,206-01,206-01,4G,Tablet
260301160016+0200,240,24,240,35065634,24450384,15895339,240-24,240-24,5G,Smartphone
260315011201+0200,206,5,206,49759241,43436866,42581265,206-05,206-05,5G,Tablet
260324225440+0200,240,7,240,15065289,24755991,12291306,240-07,240-07,4G,Smartphone
