Timestamp,IMSI,MSISDN,IMEI,IP_Address,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type
2026-01-01 00:49:32.670469,2403606077131,467031437632,546136846337259,178.202.218.141,240,87,24087,14254145,94056483,36480019,240-87-6377,240-87-6377-53,5G
2026-01-01 00:56:41.467570,2403116913588,467016659818,495596447071085,76.30.237.112,240,53,24053,45940720,95036371,64352858,240-53-9343,240-53-9343-58,5G
2026-01-01 01:06:32.670469,2403606077131,467031437632,546136846337259,178.202.218.21,240,87,24087,71712622,85495872,23092534,240-87-6377,240-87-6377-53,4G
2026-01-01 01:13:32.461687,2401688028125,467095425043,503091474262047,83.16.22.153,240,11,24011,92252427,95229652,56520388,240-11-5162,240-11-5162-28,5G
2026-01-01 01:13:41.467570,2403116913588,467016659818,495596447071085,76.30.237.67,240,53,24053,91575395,40225932,31813794,240-53-9343,240-53-9343-58,4G
2026-01-01 01:15:32.670469,2403606077131,467031437632,546136846337259,178.202.218.78,240,87,24087,34157781,78596395,97640812,240-87-6377,240-87-6377-53,3G
2026-01-01 01:20:51.674364,2406016168763,467007372257,599535508483639,18.52.108.226,240,66,24066,11455258,60195440,25798511,240-66-2065,240-66-2065-69,5G
2026-01-01 01:25:57.366023,2408822114577,467058474570,573287114589714,196.10.75.136,240,70,24070,33124768,91034994,97566307,240-70-5987,240-70-5987-82,4G
2026-01-01 01:26:32.461687,2401688028125,467095425043,503091474262047,83.16.22.56,240,11,24011,61050486,60969036,74879800,240-11-5162,240-11-5162-28,4G
2026-01-01 01:40:06.516615,2404310698720,467050614973,230173610324171,111.241.250.21,240,54,24054,19047942,88377479,29888998,240-54-2315,240-54-2315-32,5G
2026-01-01 01:44:32.461687,2401688028125,467095425043,503091474262047,83.16.22.54,240,11,24011,27915160,63446788,77514506,240-11-5162,240-11-5162-28,4G
2026-01-01 01:45:38.586630,2407465505751,467094342548,288989725085115,156.135.230.198,240,06,24006,32824263,27836327,46866014,240-06-7848,240-06-7848-23,4G
2026-01-01 01:51:57.366023,2408822114577,467058474570,573287114589714,196.10.75.50,240,70,24070,56088542,17830368,55737389,240-70-5987,240-70-5987-82,4G
2026-01-01 01:53:06.516615,2404310698720,467050614973,230173610324171,111.241.250.137,240,54,24054,78609252,77065724,99615869,240-54-2315,240-54-2315-32,3G
2026-01-01 02:04:41.467570,2403116913588,467016659818,495596447071085,76.30.237.188,240,53,24053,68243061,79683200,95453797,240-53-9343,240-53-9343-58,4G
2026-01-01 02:04:57.366023,2408822114577,467058474570,573287114589714,196.10.75.195,240,70,24070,71857560,92951404,34122117,240-70-5987,240-70-5987-82,4G
2026-01-01 02:06:32.670469,2403606077131,467031437632,546136846337259,178.202.218.163,240,87,24087,38884672,61166456,44106795,240-87-6377,240-87-6377-53,5G
2026-01-01 02:12:23.895463,2407443049156,467008725755,139313234410452,87.74.234.139,240,90,24090,61276188,45805573,42130260,240-90-3288,240-90-3288-51,5G
2026-01-01 02:14:51.674364,2406016168763,467007372257,599535508483639,18.52.108.230,240,66,24066,83698984,22001541,52635956,240-66-2065,240-66-2065-69,3G
2026-01-01 02:16:32.670469,2403606077131,467031437632,546136846337259,178.202.218.215,240,87,24087,83791627,96119643,12955017,240-87-6377,240-87-6377-53,5G
2026-01-01 02:18:38.586630,2407465505751,467094342548,288989725085115,156.135.230.66,240,06,24006,86613785,42930290,34863874,240-06-7848,240-06-7848-23,5G
2026-01-01 02:22:23.895463,2407443049156,467008725755,139313234410452,87.74.234.201,240,90,24090,31611961,68105309,61929756,240-90-3288,240-90-3288-51,5G
2026-01-01 02:23:41.467570,2403116913588,467016659818,495596447071085,76.30.237.128,240,53,24053,89988639,16731126,16512369,240-53-9343,240-53-9343-58,4G
2026-01-01 02:28:16.527673,2401547970499,467088312060,521633913954328,174.39.66.118,240,18,24018,80407116,22873463,71986220,240-18-5720,240-18-5720-71,4G
2026-01-01 02:32:24.880407,2407260761242,467004415682,970514330727999,85.142.28.192,240,74,24074,28282660,82431257,25999432,240-74-1894,240-74-1894-66,4G
2026-01-01 02:35:06.516615,2404310698720,467050614973,230173610324171,111.241.250.174,240,54,24054,29013079,37582900,98913285,240-54-2315,240-54-2315-32,4G
2026-01-01 02:35:32.461687,2401688028125,467095425043,503091474262047,83.16.22.70,240,11,24011,73256638,37432058,17167226,240-11-5162,240-11-5162-28,5G
2026-01-01 02:39:06.595834,2402820749596,467024132459,245732112314142,99.75.175.192,240,93,24093,96124597,14882552,29739460,240-93-1285,240-93-1285-31,3G
2026-01-01 02:46:38.586630,2407465505751,467094342548,288989725085115,156.135.230.108,240,06,24006,16117049,42648258,63164449,240-06-7848,240-06-7848-23,4G
2026-01-01 02:47:32.670469,2403606077131,467031437632,546136846337259,178.202.218.144,240,87,24087,66197145,62661290,59542610,240-87-6377,240-87-6377-53,5G
2026-01-01 02:49:57.366023,2408822114577,467058474570,573287114589714,196.10.75.115,240,70,24070,20374710,33745140,84570607,240-70-5987,240-70-5987-82,5G
2026-01-01 02:50:24.880407,2407260761242,467004415682,970514330727999,85.142.28.22,240,74,24074,15543465,14384657,93273737,240-74-1894,240-74-1894-66,4G
2026-01-01 02:50:51.674364,2406016168763,467007372257,599535508483639,18.52.108.8,240,66,24066,54097371,95062937,84251697,240-66-2065,240-66-2065-69,3G
2026-01-01 02:54:57.366023,2408822114577,467058474570,573287114589714,196.10.75.36,240,70,24070,43670128,19133698,58054076,240-70-5987,240-70-5987-82,5G
2026-01-01 02:55:16.527673,2401547970499,467088312060,521633913954328,174.39.66.58,240,18,24018,61654089,37844027,27240746,240-18-5720,240-18-5720-71,4G
2026-01-01 02:57:38.586630,2407465505751,467094342548,288989725085115,156.135.230.30,240,06,24006,69550081,86157106,50483254,240-06-7848,240-06-7848-23,4G
2026-01-01 02:58:06.516615,2404310698720,467050614973,230173610324171,111.241.250.150,240,54,24054,76726789,23451334,80203476,240-54-2315,240-54-2315-32,4G
2026-01-01 02:58:24.880407,2407260761242,467004415682,970514330727999,85.142.28.112,240,74,24074,37503376,52521680,73128599,240-74-1894,240-74-1894-66,3G
2026-01-01 03:10:06.595834,2402820749596,467024132459,245732112314142,99.75.175.140,240,93,24093,35656346,28186410,23685275,240-93-1285,240-93-1285-31,3G
2026-01-01 03:15:32.670469,2403606077131,467031437632,546136846337259,178.202.218.126,240,87,24087,10839586,66387070,63789497,240-87-6377,240-87-6377-53,3G
2026-01-01 03:16:41.467570,2403116913588,467016659818,495596447071085,76.30.237.81,240,53,24053,93435744,43619551,31624841,240-53-9343,240-53-9343-58,4G
2026-01-01 03:22:23.895463,2407443049156,467008725755,139313234410452,87.74.234.33,240,90,24090,22583458,76593450,47465229,240-90-3288,240-90-3288-51,5G
2026-01-01 03:25:32.461687,2401688028125,467095425043,503091474262047,83.16.22.14,240,11,24011,26629932,55884627,57485067,240-11-5162,240-11-5162-28,3G
