IMSI,MSISDN,IMEI,IP_Address,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type
240012827797901,467083052155,962491944673789,58.189.9.239,240,01,24001,35227596,86561349,51822494,240-01-3104,240-01-3104-83,5G
240013507550502,467041375820,985731315985238,13.48.240.126,240,01,24001,87439894,61802281,72821687,240-01-1576,240-01-1576-79,5G
240010158540915,467037183285,337385182805062,13.239.152.22,240,01,24001,56516684,54762761,43834669,240-01-1332,240-01-1332-51,3G
240015165605786,467056618031,862153235292128,132.101.97.187,240,01,24001,59895540,77410319,36102122,240-01-7287,240-01-7287-35,5G
240016227407918,467032995494,560331839914162,69.186.240.130,240,01,24001,37625000,12939301,45544629,240-01-8255,240-01-8255-68,3G
240018474698182,467068373863,696467988415364,92.5.208.63,240,01,24001,92165463,29606481,47671140,240-01-1657,240-01-1657-33,5G
240014779401773,467040130179,209552398596160,216.147.222.104,240,01,24001,34616318,44766754,83687343,240-01-9477,240-01-9477-86,4G
240011044130390,467033644085,240956814892017,119.221.208.165,240,01,24001,51373726,87275836,61078195,240-01-4216,240-01-4216-96,5G
240010317761817,467005904537,957239913755295,44.8.76.108,240,01,24001,65227895,97360518,83177388,240-01-5113,240-01-5113-24,5G
240017262796564,467073363331,621537932053780,51.104.66.39,240,01,24001,63662574,25164338,35499999,240-01-9454,240-01-9454-49,3G
240014860125254,467014927138,349875149572829,169.199.197.110,240,01,24001,92232863,90193905,52704445,240-01-3471,240-01-3471-37,4G
240016694579604,467057616648,710242749266200,7.37.10.27,240,01,24001,52250849,16513791,61439836,240-01-5773,240-01-5773-55,5G
240018358354944,467015458447,580900769612994,180.194.250.189,240,01,24001,36764200,46160370,63558591,240-01-8273,240-01-8273-39,3G
240011979172545,467062861796,264100628595413,51.228.142.41,240,01,24001,91046047,66715114,13874492,240-01-9242,240-01-9242-13,5G
240015963023318,467004681625,151624047239491,140.169.90.245,240,01,24001,80422222,48419424,87136375,240-01-7223,240-01-7223-77,3G
