IMSI,MSISDN,IMEI,IP_Address,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type
240058295692771,467042114330,531023466299427,126.30.73.100,240,92,24092,34975230,81316336,80923820,240-79-4341,240-04-4090-14,3G
240442414259777,467061581284,611941204090469,216.13.16.143,240,51,24051,66982583,21704993,96463143,240-51-2193,240-51-2193-82,3G
240655824598130,467002569927,997178505844085,123.200.130.127,240,79,24079,87865637,61169752,37033967,240-79-1762,240-79-1762-46,3G
240195100757974,467059858078,698178100623143,72.148.119.122,240,30,24030,16244072,32329170,87025620,240-85-4340,240-65-8777-88,4G
240896137791326,467027581617,508115933537942,13.92.139.89,240,80,24080,76108967,21513890,61388316,240-80-4079,240-80-4079-69,4G
240879375322061,467028783125,599162082118363,83.239.222.145,240,27,24027,97911893,53335213,92371078,240-27-5266,240-27-5266-55,4G
240781262272946,467046250659,465712493214589,205.180.145.1,240,9,24009,99109208,89698099,47673864,240-09-3672,240-09-3672-74,4G
240421279448729,467068761091,600571602797006,165.86.193.14,240,63,24063,67549816,54363740,67241737,240-63-2278,240-63-2278-10,3G
240610085104402,467077577207,770944860067392,180.27.57.168,240,97,24097,49694555,98921687,17634672,240-01-7845,240-81-1636-92,4G
240711526588715,467088515247,295098173935968,121.125.228.109,240,98,24098,44943419,15814355,46046516,240-98-6051,240-98-6051-22,4G
240777772673971,467055920320,481438941139936,190.51.42.165,240,23,24023,37085775,62666557,46541970,240-47-6951,240-61-6058-92,4G
240391177545530,467048591786,575890129690779,6.214.111.34,240,58,24058,88356525,82482723,91958025,240-58-2776,240-58-2776-95,3G
240635484253661,467055253371,204420505934743,168.15.35.199,240,22,24022,98651636,75791142,34640847,240-88-6221,240-23-9161-76,4G
240582351388136,467086358470,536487710296070,156.215.93.103,240,65,24065,35302014,39339453,18607343,240-65-4777,240-65-4777-74,4G
240386504310224,467041988826,191283643485912,53.114.194.253,240,88,24088,63425576,15764368,73406287,240-77-3641,240-69-2679-78,5G
240869875801156,467043045319,322624713679493,159.102.3.94,240,79,24079,44661808,32539617,34594441,240-79-5038,240-79-5038-81,4G
240019639692026,467077611922,881383961077745,94.182.44.133,240,53,24053,60030565,25174759,55922408,240-53-5894,240-53-5894-95,4G
240666052215739,467000796343,372415519028599,143.86.152.0,240,88,24088,38553684,31100524,75184813,240-14-6040,240-37-7625-21,5G
240971444647267,467095174271,615464181674049,217.143.230.228,240,6,24006,55657967,84784711,41711002,240-06-9710,240-06-9710-12,5G
240063424014763,467071235355,198672180592976,204.145.142.15,240,94,24094,64063949,68908502,66119237,240-09-6728,240-07-3629-88,4G
240318672570654,467004244944,447369479973510,82.187.52.209,240,85,24085,48881288,14075557,55720869,240-50-4183,240-57-4426-95,3G
240014588679459,467077288439,831158108763773,191.42.79.140,240,21,24021,63327374,48284183,23094515,240-21-6266,240-21-6266-23,4G
240565241147010,467094794587,755500757623001,80.55.168.180,240,66,24066,54121987,95435916,30317257,240-66-8180,240-66-8180-82,5G
240093560713353,467091338259,569023653887164,98.102.32.84,240,1,24001,79035499,81421245,89497053,240-21-2332,240-45-1969-59,5G
240232501124301,467017116607,680829992039652,49.39.217.223,240,89,24089,96692247,61472645,81384441,240-89-1711,240-89-1711-29,3G
240669700666899,467044992797,636007171551549,12.30.113.211,240,44,24044,40928472,70073800,66477946,240-44-9933,240-44-9933-51,5G
240289429587720,467005930806,751507023070960,214.84.102.1,240,9,24009,45362114,81983443,61840199,240-09-6827,240-09-6827-54,4G
240829760495355,467082725018,516573161304828,170.235.198.113,240,65,24065,97047344,42611036,73836934,240-65-8082,240-65-8082-35,5G
240097529112608,467059717242,281791497268192,12.49.52.184,240,82,24082,59358118,72132028,89258811,240-82-1026,240-82-1026-32,3G
240204791820737,467012803379,658464896049670,154.190.102.57,240,46,24046,65956871,41073885,34076960,240-78-1735,240-93-3321-40,4G
