IMSI,MSISDN,IMEI,IP_Address,Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type,Linkage_Index
3102603631797062,130597265273,948284385435209,13.201.222.238,260403201742-0700,310,260,310260,72001579,79415513,74160460,310-260-6850,310-260-6850-88,4G,Smartphone,132
3102602958616721,120270254496,524323285024218,82.131.74.220,260406192842-0600,310,260,310260,92259189,74762114,86850617,310-260-9444,310-260-9444-51,4G,Smartphone,1442
240041588218708,467941079116,260068421464461,123.125.11.185,260406043454+0200,240,04,24004,13458492,29546247,26939529,240-04-3724,240-04-3724-55,5G,Smartphone,883
234331586207138,447847785407,885657734539341,36.191.138.47,260408143216+0000,234,33,23433,53464096,56198053,57325282,234-33-9564,234-33-9564-87,3G,Smartphone,2178
240075665589906,467386972232,488524362043006,129.153.198.180,260403055140+0200,240,07,24007,18022141,33159286,12149963,240-07-9938,240-07-9938-34,5G,Smartphone,1318
3104800679928463,161755564226,101855648175970,90.83.94.192,260402051628-0500,310,480,310480,73931255,92050680,71178437,310-480-3102,310-480-3102-63,5G,IoT Device,2402
234335131469299,447438634587,327864233636285,207.47.144.23,260403200508+0100,234,33,23433,75139434,73734698,66865285,234-33-9584,234-33-9584-23,4G,Smartphone,2219
3102606460288368,141578601580,443598513939881,63.108.169.234,260402075202-0700,310,260,310260,91894435,87142439,93868037,310-260-4302,310-260-4302-88,3G,Smartphone,2521
3104800898992172,130533206163,941848772945116,159.15.198.183,260319174347-0800,310,480,310480,88668484,83333021,86885999,310-480-4860,310-480-4860-70,4G,Smartphone,47
234157957571869,447725006973,668833745879492,28.204.250.119,260404180233+0100,234,15,23415,78575029,72107881,57064816,234-15-9543,234-15-9543-35,5G,IoT Device,1906
3101207754628406,120263283967,697051315729854,115.155.2.226,260403160201-0500,310,120,310120,70532274,85588359,72421751,310-120-1086,310-120-1086-88,4G,IoT Device,2861
3102607283999219,130512493843,131027788948706,165.25.137.77,260407210011-0500,310,260,310260,91507259,92585480,68480453,310-260-6850,310-260-6850-34,5G,Tablet,183
3104804229665144,141586574306,308339160681484,191.164.122.143,260406124516-0800,310,480,310480,97161918,88992696,73278632,310-480-8366,310-480-8366-34,3G,Tablet,1522
206013860792746,324622254463,930548266392669,59.17.101.189,260402093040+0100,206,01,20601,33443736,50161524,41185171,206-01-3939,206-01-3939-98,4G,Tablet,2590
3104101354901459,161767069219,556311528730549,57.252.90.99,260403023305-0600,310,410,310410,87800691,75449443,83223705,310-410-3621,310-410-3621-30,4G,IoT Device,611
206206271361115,324742622189,111374609275326,138.198.177.219,260325134717+0100,206,20,20620,50672080,53037337,39843939,206-20-1132,206-20-1132-99,4G,Smartphone,30
240089996294264,467977070345,607155752155527,26.204.205.243,260404001256+0100,240,08,24008,18590373,15140990,13692682,240-08-3780,240-08-3780-55,3G,Smartphone,2119
3101209562354351,130590458963,839967485952405,90.83.94.192,260408030311-0800,310,120,310120,98512565,71312003,68836778,310-120-8167,310-120-8167-88,4G,Smartphone,1729
240085193356284,467337282840,233292622520043,108.82.65.234,260406205453+0200,240,08,24008,16247850,11562559,28874791,240-08-6344,240-08-6344-37,4G,Smartphone,1634
234109970244043,447309077182,416229895327737,53.167.206.172,260406181953+0000,234,10,23410,64635274,61898367,61514120,234-10-1228,234-10-1228-35,3G,Tablet,1011
206053632618476,324569371218,396124895384127,124.148.41.21,260408085550+0100,206,05,20605,37394133,34084154,25887247,206-05-8679,206-05-8679-71,4G,Tablet,2952
206201654594806,324609527958,950776126072509,203.41.2.41,260407102348+0200,206,20,20620,36376134,36378924,46353581,206-20-7730,206-20-7730-91,5G,IoT Device,2117
3104803607989097,161792079833,798376131013624,6.75.35.92,260404075507-0800,310,480,310480,70183253,87015459,77812768,310-480-9234,310-480-9234-34,3G,IoT Device,1843
240080151497776,467391361657,655568695282261,12.4.151.183,260406105733+0100,240,08,24008,38175023,29042033,20998791,240-08-2193,240-08-2193-43,5G,Tablet,1060
206205184047735,324531884974,185833586322855,223.107.76.35,260404232748+0200,206,20,20620,43636599,37501528,52565574,206-20-8237,206-20-8237-98,5G,Smartphone,1756
206106656602076,324645130961,288948857348579,175.67.210.66,260406131131+0200,206,10,20610,55765979,52031776,35377314,206-10-6568,206-10-6568-23,5G,Tablet,2319
3104100231521809,151212492018,499345913597309,190.122.114.138,260406210123-0500,310,410,310410,87472815,71810711,92503589,310-410-3621,310-410-3621-88,4G,IoT Device,2067
206059364076202,324920749596,343757904132459,222.22.253.13,260404120140+0200,206,05,20605,54591757,33643302,49344619,206-05-9090,206-05-9090-91,4G,Tablet,2095
240013331679266,467303075059,871271369064081,204.236.56.75,260402034355+0100,240,01,24001,12019416,22600015,25012789,240-01-7912,240-01-7912-37,3G,Smartphone,1590
240012792817272,467333477204,814534184437628,194.205.250.139,260406174403+0100,240,01,24001,37455599,15047669,21290250,240-01-5506,240-01-5506-37,4G,IoT Device,2317
234333547607512,447301842622,609610744418024,165.132.79.159,260408114646+0100,234,33,23433,61584077,69543034,59844686,234-33-6295,234-33-6295-20,3G,Tablet,1042
206014304446978,324942596349,121072120197689,134.89.215.193,260404005518+0100,206,01,20601,37585926,38279331,34286471,206-01-1231,206-01-1231-71,5G,IoT Device,1528
234305681820967,447804227113,389436762288985,191.2.243.63,260402005423+0000,234,30,23430,65014944,54402260,61375647,234-30-2503,234-30-2503-87,3G,Tablet,238
3104107493135276,130555937651,224591318256651,74.27.180.228,260405121259-0500,310,410,310410,82863856,77197360,72362631,310-410-3255,310-410-3255-63,3G,Tablet,1461
234103311677269,447708437685,532288480789679,28.98.51.89,260406020024+0000,234,10,23410,56894415,62514496,54849143,234-10-5837,234-10-5837-35,4G,Smartphone,384
3104800681275610,141508673258,627149538481062,44.142.103.254,260405222314-0700,310,480,310480,79257771,85439916,69981583,310-480-7825,310-480-7825-34,4G,IoT Device,1727
240024813982981,467086044159,400189638509818,70.102.23.197,260407042938+0200,240,02,24002,12267611,19412308,29622526,240-02-3646,240-02-3646-55,3G,IoT Device,2809
240083431532931,467393928223,592619959634726,213.68.181.17,260408110904+0200,240,08,24008,15580822,34506495,19063767,240-08-4262,240-08-4262-34,5G,Smartphone,2152
240240491872742,467049561213,747125667306260,13.92.238.93,260406122900+0100,240,24,24024,20142720,16129649,17496820,240-24-8758,240-24-8758-55,4G,IoT Device,375
234154651444465,447748145252,786682408864650,43.137.109.123,260404143638+0000,234,15,23415,79688254,68799174,70480839,234-15-8285,234-15-8285-87,3G,Smartphone,1424
206058471391559,324836321234,689853916490785,64.200.244.208,260408141027+0100,206,05,20605,53475275,33790353,35619640,206-05-4241,206-05-4241-64,5G,Smartphone,155
206109078263337,324689877515,352123376637780,12.95.242.200,260402123018+0100,206,10,20610,42572851,34662395,44377967,206-10-3369,206-10-3369-91,5G,IoT Device,193
3104808814539241,130537332640,798536321944489,172.46.143.219,260402083516-0800,310,480,310480,72018095,74893502,66603677,310-480-1496,310-480-1496-63,5G,Smartphone,1880
240245018051051,467093145041,224410285822825,129.153.198.180,260406210036+0100,240,24,24024,26925213,22031096,25643546,240-24-3749,240-24-3749-55,4G,Smartphone,2785
3101201304948414,130535528337,326803778756798,124.76.33.229,260402011111-0600,310,120,310120,74184048,92130649,78966608,310-120-2821,310-120-2821-41,4G,Smartphone,882
240043225560010,467045478364,398552297482623,201.13.181.219,260407204004+0100,240,04,24004,14905474,29095199,28653759,240-04-9479,240-04-9479-37,5G,IoT Device,2697
206109375638856,324953193556,979126044292778,78.240.106.97,260402021922+0100,206,10,20610,36004323,36661043,38464383,206-10-9117,206-10-9117-91,5G,Tablet,2911
240165545651541,467323861450,915834924138225,104.22.182.40,260403125337+0100,240,16,24016,35908893,27270736,12157230,240-16-8956,240-16-8956-11,3G,Smartphone,2174
234334914416860,447525734998,554030100308389,96.175.86.94,260404203848+0100,234,33,23433,54743519,58734189,59039110,234-33-8354,234-33-8354-27,4G,Tablet,2423
234109685276820,447818812246,623184701428097,62.4.90.0,260404025856+0000,234,10,23410,50053725,55415590,50268785,234-10-3240,234-10-3240-27,3G,Smartphone,1512
240168628685643,467376088230,873925972587289,11.234.190.220,260406134459+0200,240,16,24016,36555793,31846178,19713328,240-16-7883,240-16-7883-37,5G,Smartphone,1075
234335298009341,447473454247,228694561558221,76.230.221.234,260402165855+0100,234,33,23433,68702287,53800835,77737865,234-33-2868,234-33-2868-35,3G,Smartphone,1354
240053595205610,467067990069,675086948018677,100.255.205.158,260401202249+0200,240,05,24005,18817028,11479375,18107955,240-05-5333,240-05-5333-43,5G,Smartphone,494
240020577980660,467292051460,712869244555347,135.84.129.170,260405193731+0100,240,02,24002,36296937,11603872,20888829,240-02-7482,240-02-7482-43,5G,Smartphone,334
234339290469981,447372137026,195735236716727,25.68.253.126,260408055330+0000,234,33,23433,51794616,55069087,54863699,234-33-8138,234-33-8138-35,4G,Tablet,1746
234305686223070,447759480531,608372950227433,94.60.179.154,260404225328+0000,234,30,23430,51773604,57153127,64763702,234-30-3578,234-30-3578-71,3G,IoT Device,858
234157397864516,447788505180,923280617013150,82.112.65.154,260407052006+0100,234,15,23415,72382963,68159068,76777104,234-15-9408,234-15-9408-87,3G,Smartphone,2822
234301759317261,447384563147,894118606126508,25.223.144.73,260406094746+0000,234,30,23430,67965939,73872809,70424092,234-30-3549,234-30-3549-27,3G,Smartphone,1640
240017420784271,467613756486,692287941436489,205.19.7.56,260404220908+0200,240,01,24001,39813525,17756395,22589474,240-01-5374,240-01-5374-37,5G,Smartphone,2246
240019144566196,467676015043,465220870102655,18.82.69.240,260407224129+0100,240,01,24001,25220352,22700020,20203833,240-01-2824,240-01-2824-55,5G,Smartphone,1222
206012600014407,324829143049,194914703410389,110.137.73.184,260406090920+0200,206,01,20601,46633138,40784299,30110532,206-01-4937,206-01-4937-64,5G,Smartphone,619
206058292482873,324610788312,954533007365485,90.2.235.24,260406024740+0100,206,05,20605,35011216,36170391,25089569,206-05-8253,206-05-8253-91,4G,Smartphone,829
234101785020502,447549723920,209935580297599,41.177.12.189,260404050847+0000,234,10,23410,65883695,59027162,71757439,234-10-5847,234-10-5847-57,3G,Tablet,851
206207135796699,324735695139,499954957594349,1.205.51.155,260403094252+0100,206,20,20620,42975169,45139643,40425409,206-20-4826,206-20-4826-64,5G,Tablet,2767
234106220215442,447489934758,463881643740278,177.101.237.171,260407201649+0000,234,10,23410,79085138,50552232,62740727,234-10-5689,234-10-5689-35,4G,Tablet,2557
240083815750154,467285781807,709475039491488,181.61.145.201,260404045047+0100,240,08,24008,39236792,13840607,21661944,240-08-5173,240-08-5173-53,5G,Smartphone,1490
3104808746683516,120223461192,627166633393090,29.199.155.169,260403152053-0500,310,480,310480,84523973,91947306,88312150,310-480-9476,310-480-9476-88,5G,Tablet,2420
3101205940048965,151208469544,901992885697755,8.152.198.11,260402164223-0600,310,120,310120,84375416,72231267,75766940,310-120-8167,310-120-8167-88,3G,IoT Device,1761
3104804738106370,151221850822,627881911634054,208.101.24.38,260405224421-0500,310,480,310480,83077713,79585572,99047606,310-480-5949,310-480-5949-63,4G,Tablet,1916
